value,timestamp
1552,
1568,
1552,
1552,
1584,
1584,
1504,
1488,
1552,
1568,
1600,
1520,
1600,
1488,
1584,
1584,
1552,
1552,
1552,
1568,
1552,
1504,
1584,
1488,190.529415618
1488,
1584,
1584,
1552,
1584,
1552,
1552,
1552,
1584,
1600,
1568,
1584,
1504,
1568,
1568,
1568,
1552,
1536,
1584,
1552,
1584,
1552,
1536,
1568,
1552,
1552,
1536,
1504,
1552,
1552,190.559155685
1552,
1584,
1568,
1536,
1584,
1552,
1552,
1568,
1456,
1568,
1456,
1584,
1552,
1520,
1552,
1584,
1536,
1552,
1568,
1520,
1472,
1584,
1568,
1472,
1552,
1536,
1568,
1456,
1552,
1552,190.589502853
1456,
1520,
1552,
1568,
1552,
1568,
1504,
1520,
1520,
1552,
1520,
1568,
1520,
1520,
1552,
1552,
1520,
1568,
1552,
1520,
1536,
1552,
1504,
1520,
1504,
1488,
1552,
1504,
1520,
1520,190.619397612
1520,
1552,
1520,
1520,
1552,
1536,
1552,
1552,
1568,
1472,
1552,
1488,
1568,
1552,
1552,
1504,
1520,
1552,
1552,
1568,
1520,
1536,
1552,
1504,
1520,
1552,
1472,
1488,
1536,
1552,190.64967086
1520,
1552,
1520,
1520,
1552,
1504,
1536,
1568,
1536,
1552,
1568,
1552,
1520,
1552,
1520,
1568,
1488,
1552,
1520,
1520,
1536,
1552,
1568,
1536,
1552,
1552,
1552,
1536,
1536,
1520,190.679122933
1552,
1568,
1552,
1520,
1552,
1520,
1552,
1504,
1504,
1520,
1536,
1552,
1488,
1536,
1552,
1568,
1488,
1520,
1552,
1552,
1520,
1536,
1504,
1552,
1456,
1552,
1504,
1504,
1488,
1504,190.709524518
1504,
1520,
1520,
1504,
1552,
1456,
1520,
1472,
1520,
1488,
1520,
1488,
1536,
1552,
1520,
1520,
1504,
1520,
1520,
1504,
1504,
1520,
1568,
1488,
1520,
1536,
1520,
1488,
1488,
1504,190.739349712
1488,
1488,
1504,
1552,
1520,
1456,
1472,
1504,
1552,
1520,
1536,
1536,
1552,
1568,
1488,
1504,
1504,
1488,
1520,
1520,
1456,
1536,
1552,
1504,
1504,
1520,
1520,
1552,
1520,
1488,190.769167253
1520,
1520,
1488,
1520,
1520,
1520,
1536,
1568,
1552,
1456,
1520,
1520,
1552,
1520,
1552,
1536,
1520,
1568,
1552,
1536,
1504,
1504,
1552,
1520,
1440,
1568,
1504,
1520,
1504,
1552,190.813351463
1520,
1536,
1520,
1536,
1536,
1472,
1504,
1552,
1520,
1440,
1520,
1552,
1552,
1488,
1536,
1520,
1520,
1520,
1536,
1504,
1536,
1456,
1520,
1520,
1424,
1520,
1520,
1520,
1472,
1472,190.8442702
1520,
1568,
1536,
1520,
1552,
1488,
1440,
1552,
1552,
1488,
1520,
1552,
1552,
1520,
1504,
1520,
1504,
1536,
1520,
1568,
1552,
1552,
1520,
1552,
1536,
1552,
1552,
1520,
1536,
1568,
1568,
1520,
1568,
1552,
1488,
1552,
1520,
1552,
1536,
1520,
1520,
1584,
1552,
1440,
1520,190.874215086
1552,
1552,
1552,
1568,
1552,
1552,
1568,
1504,
1552,
1568,
1520,
1520,
1552,
1552,
1456,
1584,
1552,
1552,
1536,
1552,
1552,
1520,
1520,
1552,
1552,
1536,
1520,
1552,
1488,
1552,190.904394149
1552,
1504,
1504,
1520,
1456,
1552,
1504,
1584,
1472,
1552,
1552,
1552,
1504,
1520,
1488,
1504,
1536,
1520,
1552,
1504,
1520,
1504,
1520,
1552,
1552,
1504,
1568,
1504,
1536,
1488,190.934323156
1536,
1504,
1568,
1536,
1520,
1520,
1504,
1520,
1520,
1504,
1520,
1488,
1504,
1536,
1488,
1488,
1520,
1520,
1504,
1488,
1520,
1520,
1552,
1536,
1504,
1488,
1536,
1552,
1488,
1440,190.979444733
1520,
1520,
1488,
1520,
1504,
1488,
1408,
1520,
1504,
1520,
1488,
1504,
1520,
1520,
1552,
1488,
1472,
1520,
1520,
1488,
1488,
1424,
1552,
1504,
1520,
1472,
1504,
1552,
1504,
1520,
1520,
1472,
1488,
1456,
1472,
1520,
1424,
1504,
1504,
1488,
1472,
1488,
1504,
1504,
1488,191.009345073
1504,
1424,
1536,
1472,
1504,
1520,
1456,
1488,
1520,
1488,
1504,
1488,
1504,
1472,
1472,
1536,
1504,
1504,
1536,
1504,
1472,
1504,
1552,
1488,
1552,
1424,
1488,
1552,
1520,
1488,191.039406718
1504,
1504,
1488,
1488,
1504,
1440,
1488,
1504,
1440,
1552,
1424,
1504,
1520,
1472,
1520,
1536,
1504,
1504,
1520,
1536,
1552,
1520,
1488,
1488,
1488,
1440,
1504,
1504,
1472,
1488,191.068952861
1520,
1488,
1408,
1472,
1536,
1520,
1504,
1488,
1536,
1520,
1472,
1536,
1504,
1552,
1504,
1504,
1504,
1488,
1552,
1520,
1488,
1488,
1488,
1520,
1472,
1488,
1520,
1456,
1520,
1520,191.099461878
1520,
1488,
1520,
1488,
1520,
1520,
1488,
1456,
1488,
1488,
1488,
1520,
1520,
1424,
1456,
1504,
1520,
1520,
1456,
1488,
1488,
1488,
1488,
1488,
1488,
1456,
1504,
1504,
1488,
1456,191.129243593
1456,
1488,
1456,
1424,
1488,
1488,
1504,
1456,
1520,
1472,
1472,
1488,
1472,
1408,
1504,
1504,
1472,
1456,
1424,
1520,
1456,
1488,
1456,
1504,
1392,
1456,
1440,
1472,
1488,
1488,191.159386802
1472,
1456,
1456,
1440,
1456,
1456,
1520,
1456,
1472,
1456,
1456,
1456,
1520,
1392,
1488,
1392,
1488,
1520,
1504,
1488,
1472,
1472,
1472,
1504,
1472,
1504,
1472,
1472,
1488,
1488,191.18945943
1392,
1488,
1488,
1440,
1520,
1520,
1504,
1440,
1456,
1456,
1472,
1488,
1504,
1520,
1488,
1408,
1504,
1472,
1456,
1488,
1504,
1488,
1440,
1472,
1472,
1504,
1488,
1520,
1504,
1504,191.233605378
1440,
1408,
1520,
1488,
1456,
1456,
1488,
1424,
1504,
1520,
1504,
1488,
1488,
1504,
1520,
1504,
1488,
1520,
1456,
1488,
1520,
1488,
1424,
1504,
1536,
1552,
1472,
1488,
1488,
1456,191.264065486
1472,
1520,
1504,
1472,
1472,
1504,
1504,
1424,
1488,
1520,
1488,
1424,
1520,
1488,
1472,
1536,
1504,
1552,
1504,
1488,
1504,
1504,
1520,
1456,
1520,
1504,
1408,
1520,
1504,
1488,
1440,
1488,
1488,
1536,
1456,
1488,
1520,
1456,
1488,
1504,
1472,
1408,
1488,
1504,
1520,191.293653959
1488,
1536,
1472,
1504,
1536,
1504,
1504,
1472,
1520,
1504,
1520,
1392,
1456,
1504,
1472,
1504,
1504,
1520,
1488,
1440,
1456,
1520,
1472,
1488,
1488,
1504,
1424,
1504,
1488,
1520,191.324455832
1488,
1488,
1504,
1520,
1456,
1408,
1472,
1520,
1488,
1504,
1456,
1520,
1408,
1456,
1520,
1488,
1472,
1488,
1488,
1488,
1536,
1520,
1488,
1456,
1488,
1520,
1456,
1488,
1504,
1520,191.354566075
1504,
1440,
1504,
1520,
1456,
1488,
1488,
1520,
1504,
1472,
1520,
1456,
1376,
1520,
1472,
1392,
1504,
1520,
1488,
1472,
1472,
1552,
1504,
1488,
1504,
1472,
1520,
1472,
1488,
1520,191.384161447
1472,
1504,
1504,
1488,
1376,
1504,
1488,
1488,
1440,
1488,
1520,
1520,
1488,
1520,
1456,
1504,
1504,
1504,
1440,
1376,
1488,
1520,
1472,
1456,
1504,
1504,
1520,
1520,
1520,
1472,191.414460893
1520,
1520,
1488,
1488,
1504,
1488,
1456,
1552,
1440,
1520,
1488,
1488,
1440,
1520,
1504,
1360,
1456,
1456,
1504,
1360,
1504,
1472,
1504,
1472,
1456,
1488,
1456,
1360,
1488,
1504,191.444136359
1504,
1488,
1456,
1504,
1440,
1504,
1456,
1504,
1344,
1520,
1488,
1440,
1440,
1472,
1504,
1504,
1488,
1520,
1392,
1440,
1520,
1472,
1504,
1360,
1488,
1472,
1488,
1440,
1488,
1504,191.474103231
1456,
1424,
1472,
1504,
1504,
1376,
1456,
1520,
1488,
1504,
1456,
1504,
1408,
1488,
1520,
1456,
1424,
1472,
1456,
1440,
1456,
1488,
1424,
1408,
1504,
1440,
1488,
1472,
1344,
1488,191.504650754
1504,
1408,
1504,
1328,
1504,
1488,
1504,
1520,
1424,
1440,
1456,
1488,
1472,
1472,
1472,
1472,
1424,
1504,
1488,
1472,
1408,
1424,
1456,
1424,
1504,
1440,
1440,
1472,
1456,
1456,191.534282112
1440,
1472,
1456,
1456,
1456,
1424,
1504,
1440,
1456,
1360,
1472,
1488,
1440,
1456,
1488,
1456,
1424,
1456,
1456,
1456,
1424,
1456,
1440,
1424,
1440,
1488,
1488,
1424,
1520,
1440,191.564154113
1440,
1488,
1472,
1472,
1504,
1456,
1488,
1424,
1456,
1440,
1456,
1504,
1440,
1488,
1504,
1440,
1392,
1504,
1456,
1504,
1440,
1456,
1456,
