value,timestamp
1232,
1232,
1216,
1232,
1216,
1248,
1232,
1344,
1248,
1296,
1360,
1264,
1248,
1264,
1344,
1200,
1200,
1216,
1200,364.234843102
1184,
1232,
1328,
1216,
1264,
1248,
1344,
1344,
1280,
1232,
1264,
1248,
1216,
1232,
1248,
1248,
1248,
1200,
1248,
1296,
1280,
1344,
1296,
1264,
1232,
1360,
1216,
1328,
1280,
1264,364.280030082
1232,
1216,
1232,
1248,
1200,
1232,
1280,
1232,
1264,
1344,
1344,
1264,
1312,
1232,
1232,
1296,
1264,
1232,
1200,
1216,
1216,
1264,
1328,
1264,
1296,
1328,
1328,
1264,
1232,
1296,
1248,
1296,
1216,
1216,
1200,
1232,
1216,
1184,
1280,
1264,
1216,
1344,
1328,
1280,
1248,364.310324736
1264,
1248,
1232,
1280,
1280,
1248,
1200,
1216,
1216,
1216,
1216,
1248,
1216,
1264,
1344,
1232,
1280,
1216,
1232,
1264,
1264,
1248,
1200,
1232,
1184,
1232,
1200,
1232,
1280,
1360,364.339963479
1328,
1344,
1344,
1216,
1296,
1200,
1280,
1200,
1248,
1184,
1216,
1200,
1216,
1232,
1232,
1264,
1328,
1264,
1232,
1296,
1184,
1232,
1328,
1200,
1264,
1232,
1232,
1200,
1248,
1296,364.369909582
1248,
1232,
1232,
1328,
1232,
1264,
1280,
1264,
1248,
1232,
1280,
1232,
1312,
1200,
1232,
1200,
1264,
1312,
1216,
1232,
1280,
1344,
1328,
1248,
1232,
1200,
1200,
1280,
1264,
1184,364.399752623
1184,
1200,
1264,
1296,
1328,
1232,
1280,
1312,
1344,
1200,
1232,
1232,
1296,
1200,
1232,
1248,
1200,
1232,
1168,
1232,
1296,
1248,
1344,
1360,
1296,
1312,
1344,
1232,
1296,
1296,364.429775647
1232,
1232,
1232,
1200,
1216,
1184,
1280,
1296,
1216,
1280,
1328,
1328,
1248,
1232,
1312,
1248,
1232,
1248,
1216,
1200,
1280,
1216,
1232,
1248,
1264,
1216,
1248,
1344,
1232,
1216,364.47494454
1264,
1344,
1264,
1168,
1296,
1248,
1200,
1200,
1232,
1248,
1232,
1264,
1232,
1312,
1248,
1280,
1280,
1200,
1232,
1248,
1296,
1280,
1216,
1200,
1264,
1200,
1232,
1200,
1280,
1216,364.505028354
1328,
1312,
1296,
1328,
1232,
1264,
1248,
1216,
1264,
1264,
1248,
1216,
1216,
1280,
1264,
1232,
1328,
1232,
1312,
1280,
1232,
1200,
1328,
1312,
1248,
1264,
1216,
1232,
1216,
1216,
1248,
1200,
1296,
1280,
1328,
1200,
1200,
1312,
1312,
1264,
1312,
1216,
1216,
1184,
1264,364.534953551
1216,
1232,
1296,
1296,
1264,
1248,
1344,
1344,
1328,
1264,
1200,
1248,
1264,
1200,
1232,
1200,
1200,
1248,
1232,
1280,
1248,
1200,
1216,
1248,
1296,
1232,
1216,
1232,
1248,
1200,364.564771152
1232,
1200,
1248,
1216,
1264,
1232,
1280,
1248,
1328,
1264,
1312,
1344,
1248,
1264,
1232,
1248,
1296,
1312,
1184,
1248,
1248,
1312,
1280,
1248,
1264,
1344,
1280,
1344,
1280,
1312,364.59526105
1232,
1216,
1264,
1264,
1248,
1184,
1280,
1200,
1216,
1328,
1264,
1328,
1328,
1264,
1360,
1232,
1360,
1280,
1280,
1328,
1248,
1296,
1280,
1248,
1200,
1248,
1280,
1248,
1248,
1344,364.625037715
1360,
1296,
1280,
1216,
1216,
1264,
1296,
1312,
1216,
1248,
1312,
1248,
1344,
1264,
